"attribute_0","symboling","wheel.base","length","width","height","curb.weight","num.of.cylinders","engine.size","compression.ratio","city.mpg","highway.mpg","make_alfa.romero","make_audi","make_bmw","make_chevrolet","make_dodge","make_honda","make_isuzu","make_jaguar","make_mazda","make_mercedes.benz","make_mercury","make_mitsubishi","make_nissan","make_peugot","make_plymouth","make_porsche","make_renault","make_saab","make_subaru","make_toyota","make_volkswagen","make_volvo","fuel.type_diesel","fuel.type_gas","aspiration_std","aspiration_turbo","body.style_convertible","body.style_hardtop","body.style_hatchback","body.style_sedan","body.style_wagon","drive.wheels_4wd","drive.wheels_fwd","drive.wheels_rwd","engine.location_front","engine.location_rear","engine.type_dohc","engine.type_l","engine.type_ohc","engine.type_ohcf","engine.type_ohcv","engine.type_rotor","fuel.system_1bbl","fuel.system_2bbl","fuel.system_4bbl","fuel.system_idi","fuel.system_mfi","fuel.system_mpfi","fuel.system_spdi","fuel.system_spfi","normalized.losses","num.of.doors","bore","stroke","peak.rpm","class","price"
171,-1,102.4,175.6,66.5,53.9,2414,4,122,8.7,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,4,3.31,3.54,4200,92,9988
172,-1,102.4,175.6,66.5,54.9,2414,4,122,8.7,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,4,3.31,3.54,4200,92,10898
173,-1,102.4,175.6,66.5,53.9,2458,4,122,8.7,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,4,3.31,3.54,4200,92,11248
174,3,102.9,183.5,67.7,52,2976,6,171,9.3,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197,2,3.27,3.35,5200,161,16558
175,3,102.9,183.5,67.7,52,3016,6,171,9.3,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197,2,3.27,3.35,5200,161,15998
176,-1,104.5,187.8,66.5,54.1,3131,6,171,9.2,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90,4,3.27,3.35,5200,156,15690
177,-1,104.5,187.8,66.5,54.1,3151,6,161,9.2,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,122,4,3.27,3.35,5200,156,15750
178,2,97.3,171.7,65.5,55.7,2261,4,97,23,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122,2,3.01,3.4,4800,52,7775
179,2,97.3,171.7,65.5,55.7,2209,4,109,9,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,2,3.19,3.4,5250,85,7975
180,2,97.3,171.7,65.5,55.7,2264,4,97,23,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,94,4,3.01,3.4,4800,52,7995
181,2,97.3,171.7,65.5,55.7,2212,4,109,9,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,94,4,3.19,3.4,5250,85,8195
182,2,97.3,171.7,65.5,55.7,2275,4,109,9,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,94,4,3.19,3.4,5250,85,8495
183,2,97.3,171.7,65.5,55.7,2319,4,97,23,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,94,4,3.01,3.4,4500,68,9495
184,2,97.3,171.7,65.5,55.7,2300,4,109,10,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,94,4,3.19,3.4,5500,100,9995
185,3,94.5,159.3,64.2,55.6,2254,4,109,8.5,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,2,3.19,3.4,5500,90,11595
186,3,94.5,165.7,64,51.4,2221,4,109,8.5,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,256,2,3.19,3.4,5500,90,9980
187,0,100.4,180.2,66.9,55.1,2661,5,136,8.5,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,4,3.19,3.4,5500,110,13295
188,0,100.4,180.2,66.9,55.1,2579,4,97,23,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,122,4,3.01,3.4,4500,68,13845
189,0,100.4,183.1,66.9,55.1,2563,4,109,9,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,4,3.19,3.4,5500,88,12290
190,-2,104.3,188.8,67.2,56.2,2912,4,141,9.5,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,103,4,3.78,3.15,5400,114,12940
191,-1,104.3,188.8,67.2,57.5,3034,4,141,9.5,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,74,4,3.78,3.15,5400,114,13415
192,-2,104.3,188.8,67.2,56.2,2935,4,141,9.5,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,103,4,3.78,3.15,5400,114,15985
193,-1,104.3,188.8,67.2,57.5,3042,4,141,9.5,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,74,4,3.78,3.15,5400,114,16515
194,-2,104.3,188.8,67.2,56.2,3045,4,130,7.5,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,103,4,3.62,3.15,5100,162,18420
195,-1,104.3,188.8,67.2,57.5,3157,4,130,7.5,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,74,4,3.62,3.15,5100,162,18950
196,-1,109.1,188.8,68.9,55.5,2952,4,141,9.5,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,95,4,3.78,3.15,5400,114,16845
197,-1,109.1,188.8,68.8,55.5,3049,4,141,8.7,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,95,4,3.78,3.15,5300,160,19045
198,-1,109.1,188.8,68.9,55.5,3012,6,173,8.8,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,95,4,3.58,2.87,5500,134,21485
199,-1,109.1,188.8,68.9,55.5,3217,6,145,23,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,95,4,3.01,3.4,4800,106,22470
200,-1,109.1,188.8,68.9,55.5,3062,4,141,9.5,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,95,4,3.78,3.15,5400,114,22625
